Date,Month,Day,End of Night,Start of Night
16,February,2/16/2024,2/16/2024 5:44,2/16/2024 18:25
17,February,2/17/2024,2/17/2024 5:42,2/17/2024 18:26
18,February,2/18/2024,2/18/2024 5:41,2/18/2024 18:27
19,February,2/19/2024,2/19/2024 5:40,2/19/2024 18:29
20,February,2/20/2024,2/20/2024 5:38,2/20/2024 18:30
21,February,2/21/2024,2/21/2024 5:37,2/21/2024 18:31
22,February,2/22/2024,2/22/2024 5:36,2/22/2024 18:32
23,February,2/23/2024,2/23/2024 5:34,2/23/2024 18:33
24,February,2/24/2024,2/24/2024 5:33,2/24/2024 18:34
25,February,2/25/2024,2/25/2024 5:31,2/25/2024 18:35
26,February,2/26/2024,2/26/2024 5:30,2/26/2024 18:37
27,February,2/27/2024,2/27/2024 5:28,2/27/2024 18:38
28,February,2/28/2024,2/28/2024 5:27,2/28/2024 18:39
29,February,2/29/2024,2/29/2024 5:25,2/29/2024 18:40
1,March,3/1/2024,3/1/2024 5:24,3/1/2024 18:41
2,March,3/2/2024,3/2/2024 5:22,3/2/2024 18:42
3,March,3/3/2024,3/3/2024 5:21,3/3/2024 18:44
4,March,3/4/2024,3/4/2024 5:19,3/4/2024 18:45
5,March,3/5/2024,3/5/2024 5:18,3/5/2024 18:46
6,March,3/6/2024,3/6/2024 5:16,3/6/2024 18:47
7,March,3/7/2024,3/7/2024 5:14,3/7/2024 18:48
8,March,3/8/2024,3/8/2024 5:13,3/8/2024 18:49
9,March,3/9/2024,3/9/2024 5:11,3/9/2024 18:50
10,March,3/10/2024,3/10/2024 6:09,3/10/2024 19:52
11,March,3/11/2024,3/11/2024 6:08,3/11/2024 19:53
12,March,3/12/2024,3/12/2024 6:06,3/12/2024 19:54
13,March,3/13/2024,3/13/2024 6:04,3/13/2024 19:55
14,March,3/14/2024,3/14/2024 6:03,3/14/2024 19:56
15,March,3/15/2024,3/15/2024 6:01,3/15/2024 19:57
16,March,3/16/2024,3/16/2024 5:59,3/16/2024 19:59
17,March,3/17/2024,3/17/2024 5:57,3/17/2024 20:00
18,March,3/18/2024,3/18/2024 5:56,3/18/2024 20:01
19,March,3/19/2024,3/19/2024 5:54,3/19/2024 20:02
20,March,3/20/2024,3/20/2024 5:52,3/20/2024 20:03
21,March,3/21/2024,3/21/2024 5:50,3/21/2024 20:05
22,March,3/22/2024,3/22/2024 5:48,3/22/2024 20:06
23,March,3/23/2024,3/23/2024 5:47,3/23/2024 20:07
24,March,3/24/2024,3/24/2024 5:45,3/24/2024 20:08
25,March,3/25/2024,3/25/2024 5:43,3/25/2024 20:09
26,March,3/26/2024,3/26/2024 5:41,3/26/2024 20:11
27,March,3/27/2024,3/27/2024 5:39,3/27/2024 20:12
28,March,3/28/2024,3/28/2024 5:38,3/28/2024 20:13
29,March,3/29/2024,3/29/2024 5:36,3/29/2024 20:14
30,March,3/30/2024,3/30/2024 5:34,3/30/2024 20:15
31,March,3/31/2024,3/31/2024 5:32,3/31/2024 20:17
1,April,4/1/2024,4/1/2024 5:30,4/1/2024 20:18
2,April,4/2/2024,4/2/2024 5:29,4/2/2024 20:19
3,April,4/3/2024,4/3/2024 5:27,4/3/2024 20:20
4,April,4/4/2024,4/4/2024 5:25,4/4/2024 20:22
5,April,4/5/2024,4/5/2024 5:23,4/5/2024 20:23
6,April,4/6/2024,4/6/2024 5:21,4/6/2024 20:24
7,April,4/7/2024,4/7/2024 5:19,4/7/2024 20:25
8,April,4/8/2024,4/8/2024 5:18,4/8/2024 20:27
9,April,4/9/2024,4/9/2024 5:16,4/9/2024 20:28
10,April,4/10/2024,4/10/2024 5:14,4/10/2024 20:29
11,April,4/11/2024,4/11/2024 5:12,4/11/2024 20:30
12,April,4/12/2024,4/12/2024 5:10,4/12/2024 20:32
13,April,4/13/2024,4/13/2024 5:09,4/13/2024 20:33
14,April,4/14/2024,4/14/2024 5:07,4/14/2024 20:34
15,April,4/15/2024,4/15/2024 5:05,4/15/2024 20:36
16,April,4/16/2024,4/16/2024 5:03,4/16/2024 20:37
17,April,4/17/2024,4/17/2024 5:02,4/17/2024 20:38
18,April,4/18/2024,4/18/2024 5:00,4/18/2024 20:40
19,April,4/19/2024,4/19/2024 4:58,4/19/2024 20:41
20,April,4/20/2024,4/20/2024 4:56,4/20/2024 20:42
21,April,4/21/2024,4/21/2024 4:55,4/21/2024 20:44
22,April,4/22/2024,4/22/2024 4:53,4/22/2024 20:45
23,April,4/23/2024,4/23/2024 4:51,4/23/2024 20:46
24,April,4/24/2024,4/24/2024 4:49,4/24/2024 20:48
25,April,4/25/2024,4/25/2024 4:48,4/25/2024 20:49
26,April,4/26/2024,4/26/2024 4:46,4/26/2024 20:50
27,April,4/27/2024,4/27/2024 4:44,4/27/2024 20:52
28,April,4/28/2024,4/28/2024 4:43,4/28/2024 20:53
29,April,4/29/2024,4/29/2024 4:41,4/29/2024 20:54
30,April,4/30/2024,4/30/2024 4:39,4/30/2024 20:56
1,May,5/1/2024,5/1/2024 4:38,5/1/2024 20:57
2,May,5/2/2024,5/2/2024 4:36,5/2/2024 20:59
3,May,5/3/2024,5/3/2024 4:35,5/3/2024 21:00
4,May,5/4/2024,5/4/2024 4:33,5/4/2024 21:01
5,May,5/5/2024,5/5/2024 4:32,5/5/2024 21:03
6,May,5/6/2024,5/6/2024 4:30,5/6/2024 21:04
7,May,5/7/2024,5/7/2024 4:29,5/7/2024 21:05
8,May,5/8/2024,5/8/2024 4:27,5/8/2024 21:07
9,May,5/9/2024,5/9/2024 4:26,5/9/2024 21:08
10,May,5/10/2024,5/10/2024 4:24,5/10/2024 21:09
11,May,5/11/2024,5/11/2024 4:23,5/11/2024 21:11
12,May,5/12/2024,5/12/2024 4:22,5/12/2024 21:12
13,May,5/13/2024,5/13/2024 4:20,5/13/2024 21:13
14,May,5/14/2024,5/14/2024 4:19,5/14/2024 21:15
15,May,5/15/2024,5/15/2024 4:18,5/15/2024 21:16
16,May,5/16/2024,5/16/2024 4:16,5/16/2024 21:17
17,May,5/17/2024,5/17/2024 4:15,5/17/2024 21:19
18,May,5/18/2024,5/18/2024 4:14,5/18/2024 21:20
19,May,5/19/2024,5/19/2024 4:13,5/19/2024 21:21
20,May,5/20/2024,5/20/2024 4:12,5/20/2024 21:22
21,May,5/21/2024,5/21/2024 4:11,5/21/2024 21:24
22,May,5/22/2024,5/22/2024 4:09,5/22/2024 21:25
23,May,5/23/2024,5/23/2024 4:08,5/23/2024 21:26
24,May,5/24/2024,5/24/2024 4:07,5/24/2024 21:27
25,May,5/25/2024,5/25/2024 4:06,5/25/2024 21:28
26,May,5/26/2024,5/26/2024 4:06,5/26/2024 21:30
27,May,5/27/2024,5/27/2024 4:05,5/27/2024 21:31
28,May,5/28/2024,5/28/2024 4:04,5/28/2024 21:32
29,May,5/29/2024,5/29/2024 4:03,5/29/2024 21:33
30,May,5/30/2024,5/30/2024 4:02,5/30/2024 21:34
31,May,5/31/2024,5/31/2024 4:01,5/31/2024 21:35
1,June,6/1/2024,6/1/2024 4:01,6/1/2024 21:36
2,June,6/2/2024,6/2/2024 4:00,6/2/2024 21:37
3,June,6/3/2024,6/3/2024 4:00,6/3/2024 21:38
4,June,6/4/2024,6/4/2024 3:59,6/4/2024 21:39
5,June,6/5/2024,6/5/2024 3:58,6/5/2024 21:39
6,June,6/6/2024,6/6/2024 3:58,6/6/2024 21:40
7,June,6/7/2024,6/7/2024 3:58,6/7/2024 21:41
8,June,6/8/2024,6/8/2024 3:57,6/8/2024 21:42
9,June,6/9/2024,6/9/2024 3:57,6/9/2024 21:42
10,June,6/10/2024,6/10/2024 3:57,6/10/2024 21:43
11,June,6/11/2024,6/11/2024 3:56,6/11/2024 21:44
12,June,6/12/2024,6/12/2024 3:56,6/12/2024 21:44
13,June,6/13/2024,6/13/2024 3:56,6/13/2024 21:45
14,June,6/14/2024,6/14/2024 3:56,6/14/2024 21:45
15,June,6/15/2024,6/15/2024 3:56,6/15/2024 21:46
16,June,6/16/2024,6/16/2024 3:56,6/16/2024 21:46
17,June,6/17/2024,6/17/2024 3:56,6/17/2024 21:47
18,June,6/18/2024,6/18/2024 3:56,6/18/2024 21:47
19,June,6/19/2024,6/19/2024 3:56,6/19/2024 21:47
20,June,6/20/2024,6/20/2024 3:56,6/20/2024 21:47
21,June,6/21/2024,6/21/2024 3:56,6/21/2024 21:48
22,June,6/22/2024,6/22/2024 3:57,6/22/2024 21:48
23,June,6/23/2024,6/23/2024 3:57,6/23/2024 21:48
24,June,6/24/2024,6/24/2024 3:57,6/24/2024 21:48
25,June,6/25/2024,6/25/2024 3:58,6/25/2024 21:48
26,June,6/26/2024,6/26/2024 3:58,6/26/2024 21:48
27,June,6/27/2024,6/27/2024 3:59,6/27/2024 21:48
28,June,6/28/2024,6/28/2024 3:59,6/28/2024 21:47
29,June,6/29/2024,6/29/2024 4:00,6/29/2024 21:47
30,June,6/30/2024,6/30/2024 4:00,6/30/2024 21:47
1,July,7/1/2024,7/1/2024 4:01,7/1/2024 21:47
2,July,7/2/2024,7/2/2024 4:02,7/2/2024 21:46
3,July,7/3/2024,7/3/2024 4:02,7/3/2024 21:46
4,July,7/4/2024,7/4/2024 4:03,7/4/2024 21:46
5,July,7/5/2024,7/5/2024 4:04,7/5/2024 21:45
6,July,7/6/2024,7/6/2024 4:05,7/6/2024 21:45
7,July,7/7/2024,7/7/2024 4:06,7/7/2024 21:44
8,July,7/8/2024,7/8/2024 4:06,7/8/2024 21:43
9,July,7/9/2024,7/9/2024 4:07,7/9/2024 21:43
10,July,7/10/2024,7/10/2024 4:08,7/10/2024 21:42
11,July,7/11/2024,7/11/2024 4:09,7/11/2024 21:41
12,July,7/12/2024,7/12/2024 4:10,7/12/2024 21:41
13,July,7/13/2024,7/13/2024 4:11,7/13/2024 21:40
14,July,7/14/2024,7/14/2024 4:12,7/14/2024 21:39
15,July,7/15/2024,7/15/2024 4:13,7/15/2024 21:38
16,July,7/16/2024,7/16/2024 4:15,7/16/2024 21:37
17,July,7/17/2024,7/17/2024 4:16,7/17/2024 21:36
18,July,7/18/2024,7/18/2024 4:17,7/18/2024 21:35
19,July,7/19/2024,7/19/2024 4:18,7/19/2024 21:34
20,July,7/20/2024,7/20/2024 4:19,7/20/2024 21:33
21,July,7/21/2024,7/21/2024 4:20,7/21/2024 21:32
22,July,7/22/2024,7/22/2024 4:21,7/22/2024 21:31
23,July,7/23/2024,7/23/2024 4:23,7/23/2024 21:30
24,July,7/24/2024,7/24/2024 4:24,7/24/2024 21:28
25,July,7/25/2024,7/25/2024 4:25,7/25/2024 21:27
26,July,7/26/2024,7/26/2024 4:26,7/26/2024 21:26
27,July,7/27/2024,7/27/2024 4:28,7/27/2024 21:25
28,July,7/28/2024,7/28/2024 4:29,7/28/2024 21:23
29,July,7/29/2024,7/29/2024 4:30,7/29/2024 21:22
30,July,7/30/2024,7/30/2024 4:31,7/30/2024 21:21
31,July,7/31/2024,7/31/2024 4:33,7/31/2024 21:19
1,August,8/1/2024,8/1/2024 4:34,8/1/2024 21:18
2,August,8/2/2024,8/2/2024 4:35,8/2/2024 21:16
3,August,8/3/2024,8/3/2024 4:37,8/3/2024 21:15
4,August,8/4/2024,8/4/2024 4:38,8/4/2024 21:13
5,August,8/5/2024,8/5/2024 4:39,8/5/2024 21:12
6,August,8/6/2024,8/6/2024 4:41,8/6/2024 21:10
7,August,8/7/2024,8/7/2024 4:42,8/7/2024 21:09
8,August,8/8/2024,8/8/2024 4:43,8/8/2024 21:07
9,August,8/9/2024,8/9/2024 4:44,8/9/2024 21:05
10,August,8/10/2024,8/10/2024 4:46,8/10/2024 21:04
11,August,8/11/2024,8/11/2024 4:47,8/11/2024 21:02
12,August,8/12/2024,8/12/2024 4:48,8/12/2024 21:01
13,August,8/13/2024,8/13/2024 4:50,8/13/2024 20:59
14,August,8/14/2024,8/14/2024 4:51,8/14/2024 20:57
15,August,8/15/2024,8/15/2024 4:52,8/15/2024 20:55
16,August,8/16/2024,8/16/2024 4:54,8/16/2024 20:54
17,August,8/17/2024,8/17/2024 4:55,8/17/2024 20:52
18,August,8/18/2024,8/18/2024 4:56,8/18/2024 20:50
19,August,8/19/2024,8/19/2024 4:57,8/19/2024 20:49
20,August,8/20/2024,8/20/2024 4:59,8/20/2024 20:47
21,August,8/21/2024,8/21/2024 5:00,8/21/2024 20:45
22,August,8/22/2024,8/22/2024 5:01,8/22/2024 20:43
23,August,8/23/2024,8/23/2024 5:02,8/23/2024 20:41
24,August,8/24/2024,8/24/2024 5:04,8/24/2024 20:40
25,August,8/25/2024,8/25/2024 5:05,8/25/2024 20:38
26,August,8/26/2024,8/26/2024 5:06,8/26/2024 20:36
27,August,8/27/2024,8/27/2024 5:07,8/27/2024 20:34
28,August,8/28/2024,8/28/2024 5:09,8/28/2024 20:32
29,August,8/29/2024,8/29/2024 5:10,8/29/2024 20:31
30,August,8/30/2024,8/30/2024 5:11,8/30/2024 20:29
31,August,8/31/2024,8/31/2024 5:12,8/31/2024 20:27
1,September,9/1/2024,9/1/2024 5:13,9/1/2024 20:25
2,September,9/2/2024,9/2/2024 5:15,9/2/2024 20:23
3,September,9/3/2024,9/3/2024 5:16,9/3/2024 20:21
4,September,9/4/2024,9/4/2024 5:17,9/4/2024 20:20
5,September,9/5/2024,9/5/2024 5:18,9/5/2024 20:18
6,September,9/6/2024,9/6/2024 5:19,9/6/2024 20:16
7,September,9/7/2024,9/7/2024 5:21,9/7/2024 20:14
8,September,9/8/2024,9/8/2024 5:22,9/8/2024 20:12
9,September,9/9/2024,9/9/2024 5:23,9/9/2024 20:10
10,September,9/10/2024,9/10/2024 5:24,9/10/2024 20:08
11,September,9/11/2024,9/11/2024 5:25,9/11/2024 20:07
12,September,9/12/2024,9/12/2024 5:26,9/12/2024 20:05
13,September,9/13/2024,9/13/2024 5:28,9/13/2024 20:03
14,September,9/14/2024,9/14/2024 5:29,9/14/2024 20:01
15,September,9/15/2024,9/15/2024 5:30,9/15/2024 19:59
16,September,9/16/2024,9/16/2024 5:31,9/16/2024 19:57
17,September,9/17/2024,9/17/2024 5:32,9/17/2024 19:56
18,September,9/18/2024,9/18/2024 5:33,9/18/2024 19:54
19,September,9/19/2024,9/19/2024 5:34,9/19/2024 19:52
20,September,9/20/2024,9/20/2024 5:35,9/20/2024 19:50
21,September,9/21/2024,9/21/2024 5:36,9/21/2024 19:48
22,September,9/22/2024,9/22/2024 5:38,9/22/2024 19:46
23,September,9/23/2024,9/23/2024 5:39,9/23/2024 19:45
24,September,9/24/2024,9/24/2024 5:40,9/24/2024 19:43
25,September,9/25/2024,9/25/2024 5:41,9/25/2024 19:41
26,September,9/26/2024,9/26/2024 5:42,9/26/2024 19:39
27,September,9/27/2024,9/27/2024 5:43,9/27/2024 19:38
28,September,9/28/2024,9/28/2024 5:44,9/28/2024 19:36
29,September,9/29/2024,9/29/2024 5:45,9/29/2024 19:34
30,September,9/30/2024,9/30/2024 5:46,9/30/2024 19:32
1,October,10/1/2024,10/1/2024 5:47,10/1/2024 19:31
2,October,10/2/2024,10/2/2024 5:49,10/2/2024 19:29
3,October,10/3/2024,10/3/2024 5:50,10/3/2024 19:27
4,October,10/4/2024,10/4/2024 5:51,10/4/2024 19:26
5,October,10/5/2024,10/5/2024 5:52,10/5/2024 19:24
6,October,10/6/2024,10/6/2024 5:53,10/6/2024 19:22
7,October,10/7/2024,10/7/2024 5:54,10/7/2024 19:21
8,October,10/8/2024,10/8/2024 5:55,10/8/2024 19:19
9,October,10/9/2024,10/9/2024 5:56,10/9/2024 19:17
10,October,10/10/2024,10/10/2024 5:57,10/10/2024 19:16
11,October,10/11/2024,10/11/2024 5:58,10/11/2024 19:14
12,October,10/12/2024,10/12/2024 5:59,10/12/2024 19:13
13,October,10/13/2024,10/13/2024 6:00,10/13/2024 19:11
14,October,10/14/2024,10/14/2024 6:02,10/14/2024 19:09
15,October,10/15/2024,10/15/2024 6:03,10/15/2024 19:08
16,October,10/16/2024,10/16/2024 6:04,10/16/2024 19:06
17,October,10/17/2024,10/17/2024 6:05,10/17/2024 19:05
18,October,10/18/2024,10/18/2024 6:06,10/18/2024 19:04
19,October,10/19/2024,10/19/2024 6:07,10/19/2024 19:02
20,October,10/20/2024,10/20/2024 6:08,10/20/2024 19:01
21,October,10/21/2024,10/21/2024 6:09,10/21/2024 18:59
22,October,10/22/2024,10/22/2024 6:10,10/22/2024 18:58
23,October,10/23/2024,10/23/2024 6:11,10/23/2024 18:57
24,October,10/24/2024,10/24/2024 6:12,10/24/2024 18:55
25,October,10/25/2024,10/25/2024 6:13,10/25/2024 18:54
26,October,10/26/2024,10/26/2024 6:15,10/26/2024 18:53
27,October,10/27/2024,10/27/2024 6:16,10/27/2024 18:51
28,October,10/28/2024,10/28/2024 6:17,10/28/2024 18:50
29,October,10/29/2024,10/29/2024 6:18,10/29/2024 18:49
30,October,10/30/2024,10/30/2024 6:19,10/30/2024 18:48
31,October,10/31/2024,10/31/2024 6:20,10/31/2024 18:47
1,November,11/1/2024,11/1/2024 6:21,11/1/2024 18:45
2,November,11/2/2024,11/2/2024 6:22,11/2/2024 18:44
3,November,11/3/2024,11/3/2024 5:23,11/3/2024 17:43
4,November,11/4/2024,11/4/2024 5:25,11/4/2024 17:42
5,November,11/5/2024,11/5/2024 5:26,11/5/2024 17:41
6,November,11/6/2024,11/6/2024 5:27,11/6/2024 17:40
7,November,11/7/2024,11/7/2024 5:28,11/7/2024 17:39
8,November,11/8/2024,11/8/2024 5:29,11/8/2024 17:38
9,November,11/9/2024,11/9/2024 5:30,11/9/2024 17:37
10,November,11/10/2024,11/10/2024 5:31,11/10/2024 17:36
11,November,11/11/2024,11/11/2024 5:32,11/11/2024 17:36
12,November,11/12/2024,11/12/2024 5:33,11/12/2024 17:35
13,November,11/13/2024,11/13/2024 5:34,11/13/2024 17:34
14,November,11/14/2024,11/14/2024 5:36,11/14/2024 17:33
15,November,11/15/2024,11/15/2024 5:37,11/15/2024 17:32
16,November,11/16/2024,11/16/2024 5:38,11/16/2024 17:32
17,November,11/17/2024,11/17/2024 5:39,11/17/2024 17:31
18,November,11/18/2024,11/18/2024 5:40,11/18/2024 17:30
19,November,11/19/2024,11/19/2024 5:41,11/19/2024 17:30
20,November,11/20/2024,11/20/2024 5:42,11/20/2024 17:29
21,November,11/21/2024,11/21/2024 5:43,11/21/2024 17:29
22,November,11/22/2024,11/22/2024 5:44,11/22/2024 17:28
23,November,11/23/2024,11/23/2024 5:45,11/23/2024 17:28
24,November,11/24/2024,11/24/2024 5:46,11/24/2024 17:27
25,November,11/25/2024,11/25/2024 5:47,11/25/2024 17:27
26,November,11/26/2024,11/26/2024 5:48,11/26/2024 17:27
27,November,11/27/2024,11/27/2024 5:49,11/27/2024 17:26
28,November,11/28/2024,11/28/2024 5:50,11/28/2024 17:26
29,November,11/29/2024,11/29/2024 5:51,11/29/2024 17:26
30,November,11/30/2024,11/30/2024 5:52,11/30/2024 17:26
